country_location,Tweets,TweetsSuicide,TweetsLowSentiment
United States,14477,1268,12851
"California, USA",5757,544,5030
India,5607,1263,4619
"London, England",5212,673,4448
USA,4588,390,4121
"Los Angeles, CA",4342,378,3808
London,4199,450,3619
"Texas, USA",3710,342,3261
United Kingdom,3631,527,3100
"Florida, USA",3504,357,3053
"Chicago, IL",2909,231,2564
"New York, NY",2880,283,2541
"England, United Kingdom",2798,419,2394
"Houston, TX",2736,248,2385
Canada,2698,230,2352
"Washington, DC",2422,228,2163
"New York, USA",2374,231,2088
UK,2370,357,2010
Malaysia,2128,88,1974
Australia,1980,267,1682
"Atlanta, GA",1919,201,1692
Earth,1801,133,1598
South Africa,1768,201,1523
"New Delhi, India",1636,392,1377
"Toronto, Ontario",1541,164,1291
New York,1533,109,1369
"Lagos, Nigeria",1505,120,1239
"Mumbai, India",1465,330,1213
"Brooklyn, NY",1459,86,1283
"North Carolina, USA",1430,114,1254
Nigeria,1419,147,1204
"Dallas, TX",1412,137,1216
"New Jersey, USA",1409,155,1226
Texas,1395,139,1228
California,1394,131,1183
"Seattle, WA",1393,99,1219
"Michigan, USA",1391,145,1203
Republic of the Philippines,1390,78,1181
"Georgia, USA",1363,140,1186
"Pennsylvania, USA",1357,125,1211
"Austin, TX",1335,108,1171
"Boston, MA",1314,114,1164
"Philadelphia, PA",1298,121,1126
"San Francisco, CA",1275,110,1135
"Ohio, USA",1274,133,1103
Ireland,1259,186,1119
"San Diego, CA",1223,118,1066
"Miami, FL",1183,110,1001
"Virginia, USA",1179,103,1066
"Johannesburg, South Africa",1169,182,1020
